# ell, res, std
4.500000000000000000e+00 1.367668994487257429e-10 1.275802459754053228e-09
7.500000000000000000e+00 6.522092447175708762e-10 6.319234881684506508e-10
1.050000000000000000e+01 1.173315264293179944e-10 3.483695336574112171e-10
1.350000000000000000e+01 6.695118933030598196e-10 2.614804267034200579e-10
1.650000000000000000e+01 5.077750008212799575e-10 2.146897412054575340e-10
1.900000000000000000e+01 5.671695626208117777e-10 1.856615760392250988e-10
4.250000000000000000e+01 2.869390694395862589e-10 9.546751912266564079e-11
8.750000000000000000e+01 1.601055071627042046e-10 6.447407745083939243e-11
1.325000000000000000e+02 2.415511311124682540e-10 5.307893075001757508e-11
1.775000000000000000e+02 2.739415304143384175e-10 4.956547792386193132e-11
2.225000000000000000e+02 7.070953077504653282e-10 5.095234820526132838e-11
