# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
0.000000000000000000e+00 1.770043526285648346e+06 0.000000000000000000e+00 0.000000000000000000e+00 1.770043526285648346e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.412957010788917542e+07 1.770493816816329956e+06 -3.050764784423828125e+06 -1.664969136512756348e+06 1.403417080995022785e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.053833225601501465e+08 1.771429614532947540e+06 -9.174393394714355469e+06 -5.017230912078857422e+06 1.683419774817173835e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.309611822847900391e+09 1.772832414793968201e+06 -1.841473202850341797e+07 -1.010099717297363281e+07 1.698919207994832192e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.273527869675097656e+10 1.774708084293365479e+06 -3.084105150671386719e+07 -1.698607141192626953e+07 1.705285146195155801e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.951309091276464844e+10 1.777049819831848145e+06 -4.654184146582031250e+07 -2.576162433300781250e+07 1.709712976364240283e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.880553021429980469e+10 1.779856389830112457e+06 -6.563162453027343750e+07 -3.654301903247070312e+07 1.713695913043587934e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.056062505753261719e+11 1.783124906553506851e+06 -8.824278973217773438e+07 -4.946363216381835938e+07 1.717718733280415647e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.757393790113320312e+11 1.786849872267007828e+06 -1.145324340678710938e+08 -6.468170675097656250e+07 1.721976771799032576e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.758586832275429688e+11 1.791030737987756729e+06 -1.446758878666992188e+08 -8.237386145361328125e+07 1.726565418092311826e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
