# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
0.000000000000000000e+00 1.770043526285648346e+06 0.000000000000000000e+00 0.000000000000000000e+00 1.770043526285648346e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.412957010788917542e+07 1.770493816818714142e+06 -3.050764784423828125e+06 -1.664969136512756348e+06 1.403417081000029575e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.053833155177917480e+08 1.771429614531993866e+06 -9.174393393951416016e+06 -5.017230912826538086e+06 1.683419774457250722e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.309611848396240234e+09 1.772832414789676666e+06 -1.841473202593994141e+07 -1.010099716995239258e+07 1.698919208372415742e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.273527869451464844e+10 1.774708084297657013e+06 -3.084105150537109375e+07 -1.698607140515136719e+07 1.705285146146824118e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.951309090181396484e+10 1.777049819833040237e+06 -4.654184146850585938e+07 -2.576162433508300781e+07 1.709712976323382929e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.880553019809863281e+10 1.779856389829874039e+06 -6.563162452832031250e+07 -3.654301903552246094e+07 1.713695913041875465e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.056062505379101562e+11 1.783124906556129456e+06 -8.824278973706054688e+07 -4.946363215917968750e+07 1.717718733322827844e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.757393790410312500e+11 1.786849872266292572e+06 -1.145324340668945312e+08 -6.468170674401855469e+07 1.721976771770039573e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.758586832038164062e+11 1.791030737988233566e+06 -1.446758878730468750e+08 -8.237386145776367188e+07 1.726565418119659647e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.134466259480781250e+11 1.795658839344501495e+06 -1.788695087846679688e+08 -1.027378989123535156e+08 1.731526391386295436e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.968133199163437500e+11 1.800735254099130630e+06 -2.173303738505859375e+08 -1.259924794006347656e+08 1.736889771498309914e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.350953003637500000e+11 1.806248833544015884e+06 -2.602903245322265625e+08 -1.523711787587890625e+08 1.742661455114846351e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.138254310014781250e+12 1.812201813067436218e+06 -3.080066737900390625e+08 -1.821331820947265625e+08 1.748854886396290269e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.517075731351218750e+12 1.818581111198425293e+06 -3.607427263427734375e+08 -2.155438143837890625e+08 1.755463744131488260e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.983167255648687500e+12 1.825389744263648987e+06 -4.187941803691406250e+08 -2.529009215703125000e+08 1.762496155062300619e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.548956912920500000e+12 1.832613205130815506e+06 -4.824518165820312500e+08 -2.944975840302734375e+08 1.769940467094257707e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
